country	date	cluster
Denmark	3000	7
Denmark	4000	6
Denmark	2000	7
Estonia	6000	15
Estonia	5000	0
Kazakhstan	2000	2
Kazakhstan	3000	0
Romania	6000	0
Romania	5000	10
Romania	7000	0
Romania	9000	6
Romania	8000	15
Jordan	4000	8
Macedonia	7000	0
Jordan	8000	7
Jordan	9000	14
The Netherlands	3000	3
The Netherlands	4000	3
Austria	7000	14
Austria	6000	0
Poland	5000	5
Poland	4000	2
Poland	3000	6
Lithuania	6000	1
Lithuania	7000	15
Lithuania	4000	2
Lithuania	3000	2
Lithuania	8000	1
Lithuania	2000	5
Croatia	4000	6
Croatia	2000	10
Croatia	7000	0
Croatia	6000	14
Croatia	3000	10
Croatia	9000	15
Croatia	5000	0
Armenia	6000	11
Armenia	4000	0
Armenia	5000	0
Armenia	3000	5
Armenia	2000	7
Greece	7000	14
Greece	5000	0
Greece	6000	0
Greece	8000	0
Greece	3000	0
Sweden	4000	11
Sweden	3000	6
Sweden	7000	1
Sweden	1000	6
Portugal	4000	4
Italy	4000	9
Italy	5000	0
Italy	3000	7
France	4000	10
France	3000	2
France	6000	0
Israel	5000	8
Israel	8000	8
Iran	9000	5
Iran	2000	0
Iran	6000	14
Iran	5000	0
Iran	7000	5
Bulgaria	4000	0
Bulgaria	6000	14
Bulgaria	3000	2
Bulgaria	7000	14
Bulgaria	5000	14
Bulgaria	2000	10
Serbia	7000	9
Serbia	6000	0
Serbia	8000	15
Spain	4000	0
Spain	3000	6
Spain	7000	0
Spain	5000	0
Spain	6000	4
Spain	9000	7
Turkey	8000	0
Turkey	4000	8
Turkey	5000	10
Turkey	7000	9
Latvia	7000	1
Latvia	5000	12
Latvia	6000	12
Latvia	8000	1
Latvia	4000	13
Latvia	2000	2
Ukraine	8000	15
Ukraine	7000	10
Ukraine	4000	0
Ukraine	5000	6
Ukraine	6000	5
Czech Republic	4000	0
Czech Republic	6000	0
Czech Republic	5000	10
Czech Republic	3000	2
Russia	7000	5
Russia	2000	11
Russia	3000	11
Russia	4000	2
Russia	5000	11
Germany	9000	13
Germany	4000	11
Germany	7000	0
Germany	6000	0
Germany	3000	11
Germany	5000	6
Hungary	3000	5
Hungary	4000	0
Hungary	6000	0
Hungary	5000	9
Hungary	7000	9
Hungary	2000	10
United Kingdom	3000	2
United Kingdom	5000	0
United Kingdom	4000	0
United Kingdom	2000	2
