country	date	label	latitude	longitude
Czech Republic	4	5	49.7439047	15.3381061
Czech Republic	6	13	49.7439047	15.3381061
Czech Republic	5	13	49.7439047	15.3381061
Czech Republic	3	7	49.7439047	15.3381061
Macedonia	7	13	41.6171214	21.7168387
Portugal	4	6	39.6621648	-8.1353519
The Netherlands	3	5	52.24764975	5.541246849406163
The Netherlands	4	5	52.24764975	5.541246849406163
Kazakhstan	2	14	48.1012954	66.7780818
Kazakhstan	3	6	48.1012954	66.7780818
Spain	4	6	39.3260685	-4.8379791
Spain	3	6	39.3260685	-4.8379791
Spain	7	13	39.3260685	-4.8379791
Spain	5	13	39.3260685	-4.8379791
Spain	6	6	39.3260685	-4.8379791
Spain	9	6	39.3260685	-4.8379791
Poland	5	6	52.215933	19.134422
Poland	4	5	52.215933	19.134422
Poland	3	6	52.215933	19.134422
Latvia	7	5	56.8406494	24.7537645
Latvia	5	5	56.8406494	24.7537645
Latvia	6	5	56.8406494	24.7537645
Latvia	8	5	56.8406494	24.7537645
Latvia	4	6	56.8406494	24.7537645
Latvia	2	5	56.8406494	24.7537645
Germany	9	6	51.1638175	10.4478313
Germany	4	6	51.1638175	10.4478313
Germany	7	6	51.1638175	10.4478313
Germany	6	8	51.1638175	10.4478313
Germany	3	5	51.1638175	10.4478313
Germany	5	6	51.1638175	10.4478313
Serbia	7	5	44.1534121	20.55144
Serbia	6	13	44.1534121	20.55144
Serbia	8	5	44.1534121	20.55144
Romania	6	5	45.9852129	24.6859225
Romania	5	13	45.9852129	24.6859225
Romania	7	11	45.9852129	24.6859225
Romania	9	9	45.9852129	24.6859225
Romania	8	5	45.9852129	24.6859225
Greece	7	3	38.9953683	21.9877132
Greece	5	13	38.9953683	21.9877132
Greece	6	13	38.9953683	21.9877132
Greece	8	6	38.9953683	21.9877132
Greece	3	13	38.9953683	21.9877132
Iran	9	6	32.6475314	54.5643516
Iran	2	14	32.6475314	54.5643516
Iran	6	6	32.6475314	54.5643516
Iran	5	13	32.6475314	54.5643516
Iran	7	6	32.6475314	54.5643516
Russia	7	6	64.6863136	97.7453061
Russia	2	6	64.6863136	97.7453061
Russia	3	15	64.6863136	97.7453061
Russia	4	6	64.6863136	97.7453061
Russia	5	12	64.6863136	97.7453061
Lithuania	6	5	55.3500003	23.7499997
Lithuania	7	5	55.3500003	23.7499997
Lithuania	4	5	55.3500003	23.7499997
Lithuania	3	0	55.3500003	23.7499997
Lithuania	8	5	55.3500003	23.7499997
Lithuania	2	6	55.3500003	23.7499997
Croatia	4	2	45.3658443	15.6575209
Croatia	2	13	45.3658443	15.6575209
Croatia	7	13	45.3658443	15.6575209
Croatia	6	6	45.3658443	15.6575209
Croatia	3	10	45.3658443	15.6575209
Croatia	9	6	45.3658443	15.6575209
Croatia	5	13	45.3658443	15.6575209
Austria	7	6	47.59397	14.12456
Austria	6	13	47.59397	14.12456
France	4	5	46.603354	1.8883335
France	3	5	46.603354	1.8883335
France	6	13	46.603354	1.8883335
Italy	4	6	42.6384261	12.674297
Italy	5	1	42.6384261	12.674297
Italy	3	6	42.6384261	12.674297
Bulgaria	4	5	42.6073975	25.4856617
Bulgaria	6	13	42.6073975	25.4856617
Bulgaria	3	4	42.6073975	25.4856617
Bulgaria	7	6	42.6073975	25.4856617
Bulgaria	5	6	42.6073975	25.4856617
Bulgaria	2	13	42.6073975	25.4856617
Israel	5	6	30.8124247	34.8594762
Israel	8	13	30.8124247	34.8594762
Jordan	4	13	31.1667049	36.941628
Jordan	8	6	31.1667049	36.941628
Jordan	9	6	31.1667049	36.941628
Sweden	4	6	59.6749712	14.5208584
Sweden	3	6	59.6749712	14.5208584
Sweden	7	5	59.6749712	14.5208584
Sweden	1	6	59.6749712	14.5208584
Estonia	6	6	58.7523778	25.3319078
Estonia	5	6	58.7523778	25.3319078
Armenia	6	13	40.7696272	44.6736646
Armenia	4	13	40.7696272	44.6736646
Armenia	5	13	40.7696272	44.6736646
Armenia	3	6	40.7696272	44.6736646
Armenia	2	6	40.7696272	44.6736646
United Kingdom	3	5	54.7023545	-3.2765753
United Kingdom	5	13	54.7023545	-3.2765753
United Kingdom	4	5	54.7023545	-3.2765753
United Kingdom	2	5	54.7023545	-3.2765753
Turkey	8	13	38.9597594	34.9249653
Turkey	4	6	38.9597594	34.9249653
Turkey	5	5	38.9597594	34.9249653
Turkey	7	6	38.9597594	34.9249653
Denmark	3	6	55.670249	10.3333283
Denmark	4	6	55.670249	10.3333283
Denmark	2	6	55.670249	10.3333283
Ukraine	8	5	49.4871968	31.2718321
Ukraine	7	5	49.4871968	31.2718321
Ukraine	4	13	49.4871968	31.2718321
Ukraine	5	6	49.4871968	31.2718321
Ukraine	6	5	49.4871968	31.2718321
Hungary	3	6	47.1817585	19.5060937
Hungary	4	5	47.1817585	19.5060937
Hungary	6	6	47.1817585	19.5060937
Hungary	5	13	47.1817585	19.5060937
Hungary	7	6	47.1817585	19.5060937
Hungary	2	5	47.1817585	19.5060937
